,coin_name,symbol,description,total_coin_supply,algorithm,proof,start_date,total_coins_mined,exchanges
82,HealthyWorm,WORM,HealthyWorm is a PoS cryptocurrency backed by a worm farm.,,PoS,PoS,02/01/2017,113180372.659642,Novaexchange
83,HeelCoin,HEEL,HeelCoin is a full PoS cryptocurrency.,,PoS,PoS,10/07/2015,,Yobit
84,Magnet,MAG,Magnet is a Proof of Word and Proof of Stake cryptocurrency based on the X11 algorithm. Magnet features a network of masternodes who process near-instant and private transactions.,144000000,X11,PoW/PoS,14/11/2017,,
85,ParallelCoin,DUO,"Parallelcoin is an experimental cryptocurrency that enables instant payments to anyone, anywhere in the world. It uses a dual algorithm system based on Scrypt and Sha256d",1000000,Scrypt,PoW,22/06/2015,314018.58664544,"Yobit, Cryptopia"
86,SixEleven,611,"611 is a Namecoin based cryptocurrency, and it allows data sharing and storing within its blockchain, app and cloud service creation as well as fast and gobal transactions. SixEleven&#39;s name comes from its coin supply, 611000",611000,SHA256,PoW,21/08/2015,,"CCEX, Cryptopia"
87,Enigma,XNG,"Enigma is a PoW/hi-PoS hybrid coin. It gives an APY of 300% in staking rewards in the first year, which s then reduced to 100%.",5000000,X11,PoW/PoS,10/04/2016,529393.0,Yobit
88,Aegis,AGS,Aegis (AGS) is an X15 altcoin with a block time of 60 seconds and a Proof of Work phase tht lasts 4 days. The Proof of Stake rate is set to an annualised 2% with 24 hrs minimum for staking. There was no premine and no IPO.,0,X13,PoS,18/08/2013,,Cryptsy
89,CryptoABS,CABS,CryptoABS is a platofrm for issuing ABS tokens which are backed by physical assets allowing holders to hedge against the extreme volatility of cryptocurrencies. ,,,,14/07/2017,,
90,GeoFunders,GUNS,"GeoFounders is a software collective focused on building blockchain-related applications and services. Using tokens called GeoUnits (GUNS), revenue collected by the GeoFounders software catalogue is automatically divvied up for token holders via smart contracts and trusted oracles. A small portion of the revenue is cycled back into the collective to further increase the collective&#39;s application catalogue, which in turn increases the token value and revenue payouts.GeoFounders tokens, also known as GeoUnits (GUNS), serve multiple purposes. The first purpose is to act as a measurement of “virtual stake” regarding revenue produced by the GeoFounders software catalogue. GUNS tokens are analyzed using a simple formula due to the fixed nature of the GUNS supply. For every GUNS token a person possesses, they receive 0.0000009% of the revenue generated by the GeoFounders software collective. The more tokens you possess, the greater your share of the revenue.The second purpose of GUNS tokens are to act as a verification mechanism within different GeFounder applications. Depending on the software, this authentication process can provide different services. For example, the primary GeoFounder members application uses token verification to allow communication within the software while other applications provide novelty software rights, such as the ability to name an in-game location within GeoRealms if you can verify an account with 1000 or more GUNS.",100000000,,,20/06/2017,100000000.0,EtherDelta
91,TigerCoin,TGC,"Tiger (TGC) is a SHA-256 based cryptocoin with a re-target every 20 blocks, POW, 128 coins per block, and 47 million total coins.",47011968,SHA256,PoW,06/09/2013,43536800.0,"Cryptopia, Cryptsy"
92,LEOcoin,LEO,"LEOcoin is a Proof of Stake cryptocurrency developed from Litecoin. It uses the Scrypt-Jane algorithm and has a 5% premine. LEOcoin aims at being an easy-to-use, pseudonymous cryptocurrency.",1000000000,Scrypt,PoW,17/06/2014,97030385.0,"LiveCoin, Cryptopia, CCEX, Novaexchange"
93,Humaniq,HMQ,"Humaniq is a decentralized application created on the Ethereum blockchain to deliver banking tools to the roughly two bln global inhabitants without access to more traditional institutions using the biometric technology as a anti-sybil measure. The dapp is to be made available for smartphones, making it globally accessible. HMQ is an Ethereum-based token that will be used for all operations within the network and will also be distributed to users through bounty and referral programs.",,,,11/12/2016,184194944.0355976,"BitTrex, Yobit, CCEX, Liqui, EtherDelta"
94,Ratio,RATIO,Ratio is a pure Proof of Stake cryptocurrency. It offers an APY of 25% in staking reward and features 1000 super blocks.,100000000,PoS,PoS,14/12/2015,,Yobit
95,FireflyCoin,FFC,"Fireflycoin (FFC) is a SHA-256 crypto coin designed for collectors and traders. It is completely open source, and has a 700 billion coin cap. There are 120 Firefly coins mined every minute. Difficulty retargets every four blocks with a block time of 60 seconds.",700000000000,SHA256,PoW,25/10/2013,,"Cryptsy, Cryptopia, Yobit"
96,DMarket,DMT,"DMarket is a marketplace based on blockchain and smart contracts to enable one-click sale, exchange or evaluation of every virtual item between all games on any platform. DMarket tokens will be the only platform currency supplying item prices for every trade, exchange, fee and smart contract.DMarket wants to create a whole new economic segment. Any kind of collaboration between gamers and games developers on DMarket platform will be regulated by market demand. Therefore, gamers have their own interest in the looting rare items, as well as game developers in creating and maintaining of unique, relevant, and tradable gaming content. Users (players as well as developers) will be able to leverage their own achievements and time spent, either for better gaming experience or for monetary purposes.DMarket API will be supported by any popular gaming engine (Unreal Engine, Cryengine, Unity 3D, etc.). DMarket API will be available for any games, whether old games (from the 1990s) or new ones. This is caused by the existence of a big community which is still playing old-fashioned games, and have been collecting enormous amount of digital items, which can be converted into real value.",,,,14/11/2017,,
97,HomeBlockCoin,HBC,HomeBlockCoin is an hybrid PoW/PoS cryptocurrency based on the X11 algorithm.,28000000,X11,PoW/PoS,03/11/2017,0.0,Cryptopia
98,ConquestCoin,CQST,"ConquestCoin is a X13 PoW/PoS cryptocurrency. It&#39;s suitable for gaming, shopping, and real-time transactions. It&#39;s integrated with true random super bonus block features.",30000000,X13,PoW/PoS,19/11/2016,,Cryptopia
99,GrownCoin,GROW,Growcoin is the cryptocurrency for marijuana growers and crypto enthusiasts. You can use GROW to buy growing supplys in their official Growshop.,,,PoW/PoS,02/05/2015,,Yobit
100,Chip,CHIP,A coin again with not too much information available as their website is down.,0,X11,PoW,25/07/2015,,"Novaexchange, CCEX, Yobit"
101,Wanchain,WAN,"Wanchain is a distributed super financial market based on blockchain. Wanchain aims to build a distributed future ""bank."" As a distributed digital-asset based financial infrastructure, Wanchain wants to allow any institution or individual to set up their own virtual teller window in the “bank” and provide services such as loan origination, asset exchanges, credit payments and transaction settlements based on digital assets. The core developers are based in the US and China.",,,PoS,01/01/0001,,
102,NumbersCoin,NUM,NumbersCoin is a digital currency that enables instant payments.,,Scrypt,PoW/PoS,02/05/2015,,Yobit
103,CampusCoin,CMPCO,CampusCoin is a PoW Scrypt cryptocurrency that aims to be used by college students worldwide for instant transactions between peers at their schools. ,1010000000,Scrypt,PoW,06/07/2017,526800546.9585644,"Cryptopia, Novaexchange"
104,JoinCoin,J,"Joincoin is the result of a team of developers, crypto currency miners, and day traders who were tired of having to jump from coin to coin in order to find the most energy efficient or ""hot trend"" algorithm available. ",2800000,Multiple,PoW,13/08/2014,3045500.5,"Novaexchange, BitTrex"
105,LeaCoin,LEA,LeaCoin is a SHA256 Proof of Work cryptocurrency. It has a maximum volume of 2 billion coins and a avg. block time of 30 seconds.,2000000000,SHA256,PoW,30/03/2015,328083092.270933,"Yobit, Cryptopia"
106,GuerillaCoin,GUE,"Guerilla Coin is an X11 Proof of Work and Proof of Scrypt hybrid alternative crypto currency. The block time is set to a minute and the PoS reward is set to vary depending on the network strength. The maximum coin supply is 15 million GUE and proof of work will stop after the 10,000th block.",19500000,X11,PoW/PoS,12/06/2014,,Cryptsy
107,COMSA,CMS,"COMSA is a platform that offers future projects a complete ecosystem for their ICOs, including the Zaif Exchange, multi-cryptocurrencies subscription, cross-platform integration and a ready ICO asset creation through the use of the NEM and Ethereum public blockchains and mijin private blockchain respectively. The CMS token is based on both Ethereum and NEM blockchains. Token holders are able to vote either to accept or reject challenging/risky projects.",,,,14/08/2017,,Yobit
108,PowerCoin,PWR,"PowerCoin is a cryptocurrency meant to facilitate decentralized co-working and shared computing power. Users can create and share projects, work groups, notes, polls and much more, through their PowerClient. PWR also provides a easy to use PowerGrid that allows companies to buy and sell or donate computing power.",50021000,NIST5,PoW/PoS,06/05/2016,,Yobit
109,MegaFlash,MEGA,"Each MEGA coin is a Counterparty asset secured with the Bitcoin blockchain and will initially be redeemable for 1 million FLASH coins. FLASH coins are given free to end users and used for advertising and incentive marketing, using a private high performance blockchain. There are 900 billion FLASH coins authorized, but only 300,000 MEGA coins authorized. MEGA coins are scarce and can be used by advertisers and online marketers to purchase FLASH coins in volume for campaigns. End users will also need MEGA coins to redeem their FLASH for BTC via an in-wallet exchange, where available.FLASH is a blockchain based platform that enables users and developers to leverage this powerful technology for social media, websites, blogs and e-commerce sites. As easy to use as webmail, FLASH is a great way to introduce your friends to crypto-coins and to build in rewards to your web pages and services.",300000,,,01/01/0001,300000.0,BitTrex
110,NoirBits,NRB,NoirBits (NRB) The 2 minute block time aims to improve on LTC&#39;s time but not so drastic as to cause a permanent orphan problems. There are 50 million total coins with 20 coins per block and a 2 minute block time.There is an hourly retargetting with a 30 block mining confirmation and a six block transaction confirmation.,50000000,SHA256,PoW,06/06/2013,0.0,"Coinse, Cryptsy"
111,DarkKush,DANK,"DarkKush is a cryptocurrency built for the marijuana community, it&#39;s a PoW/PoS hybrid coin. ",3000000,X13,PoW/PoS,26/10/2014,,BitTrex
112,IvugeoEvolutionCoin,IEC,IvugeoEvolutionCoin is a Proof of Work cryptocurrency based in the Scrypt algorithm.,100000000,Scrypt,PoW,21/06/2015,,"BitTrex, Cryptopia, CCEX, Yobit"
